yeduc,p105,birthyr,birthprov,p509kab,weight,p607,classwk,wage,birthpl,lhwage,lwage,p504th,resid,n_inpres_schools,high_inpres,child_pop_71,en71,wsppc,dens71,treat1b,treat2b,dum,moldyed,java,urban,year,age74,old,young,reallyold,pool_old_birthyr,yeduc_hat,yeduc_hat_single_IV,_yeduc_hat_single_IV_no_loo,yeduc_hat_single_IV_no_loo,yeduc_hat_no_loo,yeduc_hat_no_loo_check
12,2,1971,11,1,131,62,4,40000,1101,5.3185201,10.596635,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
12,1,1960,11,1,132,91,4,217200,1101,7.2913618,12.288574,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.083054,9.938796,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
9,2,1962,11,1,161,61,4,180000,1101,6.6890659,12.100712,62,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.165718,9.9397516,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
12,1,1962,11,1,99,61,4,280000,1101,7.6905146,12.542545,62,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.161685,9.9388094,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
12,2,1962,11,1,161,41,4,693000,1101,7.6316743,13.448785,62,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,62,7.0631027,0,0,1995,12,1,0,0,1962,10.161685,9.9388094,9.939451905502125,9.9394522,10.16417052297772,10.16430498598721
5,2,1969,11,1,131,33,4,130000,1101,6.9232593,11.77529,69,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,69,7.0631027,0,0,1995,5,0,1,0,1969,10.38902,10.432286,10.43069088753915,10.430691,10.3856509792048,10.38583214560573
13,2,1957,11,1,131,91,4,262400,1101,7.7591267,12.477625,57,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,17,1,0,0,0,10.082768,9.9383307,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1972,11,1,131,33,4,150000,1101,6.7479067,11.91839,72,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,72,7.0631027,0,0,1995,2,0,1,0,1972,10.649726,10.431804,10.43069088753915,10.430691,10.64897013019299,10.6491647466483
17,2,1968,11,1,88,15,4,325000,1101,7.9379902,12.691581,68,1106,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.629766,10.428537,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
12,2,1960,11,1,131,91,4,215000,1101,7.2032194,12.278394,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.083054,9.938796,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1961,11,1,161,71,4,350002,1101,7.6417303,12.765695,61,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.084253,9.940753,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
9,1,1965,11,1,195,51,4,150000,1101,6.640276,11.91839,65,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.238634,,,,10.23792203934064,10.2380927180182
17,1,1966,11,1,99,61,4,150000,1101,6.5247631,11.91839,66,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.093703,,,,10.10128602564848,10.10145378044096
12,2,1959,11,1,131,91,4,204000,1101,7.2019949,12.225875,59,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,15,1,0,0,0,10.083209,9.9390354,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,1,1960,11,1,132,91,4,308500,1101,7.2278309,12.639477,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.083054,9.938796,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,2,1951,11,1,229,39,4,192000,1101,7.0653844,12.165251,51,1205,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,23,0,,1,0,10.084142,,,,10.08344198688924,10.08360943434158
12,1,1954,11,1,132,93,4,308000,1101,7.6139746,12.637856,54,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.083155,,,,10.08344198688924,10.08360943434158
6,2,1960,11,1,101,51,4,150000,1101,6.2836008,11.91839,60,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.08413,9.9405642,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
3,1,1960,11,1,132,33,4,150000,1101,6.7479067,11.91839,60,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.084668,9.9414492,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
6,1,1966,11,1,16,17,4,90000,1101,5.6905375,11.407565,66,1172,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.105742,,,,10.10128602564848,10.10145378044096
6,2,1968,11,1,101,71,4,90000,1101,5.7727752,11.407565,68,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.636793,10.431997,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
12,2,1965,11,1,131,91,4,410000,1101,8.0112572,12.923912,65,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.235889,,,,10.23792203934064,10.2380927180182
15,1,1968,11,1,99,51,4,150000,1101,6.5431123,11.91839,68,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.631042,10.429166,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
6,1,1960,11,1,99,71,4,150000,1101,6.2836008,11.91839,60,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.08413,9.9405642,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
15,2,1958,11,1,101,61,4,340000,1101,7.6615272,12.736701,58,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,16,1,0,0,0,10.082639,9.9381046,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1957,11,1,131,91,4,326500,1101,7.6210113,12.696185,57,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,17,1,0,0,0,10.082969,9.9386597,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1963,11,1,131,91,4,210000,1101,7.2576504,12.254863,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5016365,,,,9.503044356277309,9.503221139393387
12,2,1963,11,1,131,91,4,285000,1101,7.4850707,12.560245,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5016365,,,,9.503044356277309,9.503221139393387
17,2,1965,11,1,101,51,4,150000,1101,6.6608953,11.91839,65,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,65,7.0631027,0,0,1995,9,0,,0,1965,10.231316,,,,10.23792203934064,10.2380927180182
12,1,1960,11,1,59,39,4,600000,1101,7.8930387,13.304685,60,1472,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,14,1,0,0,0,10.083054,9.938796,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1968,11,1,161,71,4,75000,1101,6.1012793,11.225244,68,1105,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.632959,10.43011,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
3,2,1954,11,1,131,17,4,160000,1101,6.6076508,11.982929,54,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,100,7.0631027,0,0,1995,20,0,,1,0,10.084455,,,,10.08344198688924,10.08360943434158
5,2,1963,11,1,131,15,4,150000,1101,6.3889613,11.91839,63,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.5065479,,,,9.503044356277309,9.503221139393387
12,1,1961,11,1,99,33,4,150000,1101,6.6608953,11.91839,61,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.083082,9.938797,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
8,2,1971,11,1,131,31,4,60000,1101,6.2836008,11.0021,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.864055,10.431311,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
12,2,1971,11,1,131,33,4,250000,1101,7.0539379,12.429216,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
6,2,1961,11,1,131,33,4,200000,1101,6.9485774,12.206073,61,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.084253,9.940753,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1969,11,1,131,51,4,180000,1101,6.6890659,12.100712,69,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,69,7.0631027,0,0,1995,5,0,1,0,1969,10.384022,10.430123,10.43069088753915,10.430691,10.3856509792048,10.38583214560573
5,2,1970,11,1,271,12,4,200000,1101,7.130899,12.206073,70,1405,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,70,7.0631027,0,0,1995,4,0,1,0,1970,10.419861,10.432158,10.43069088753915,10.430691,10.41826147217424,10.41845020893324
15,2,1963,11,1,101,93,4,150000,1101,8.2295113,11.91839,63,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,63,7.0631027,0,0,1995,11,0,,0,1963,9.4995317,,,,9.503044356277309,9.503221139393387
13,2,1966,11,1,131,91,4,240000,1101,7.1102796,12.388394,66,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,0,66,7.0631027,0,0,1995,8,0,,0,1966,10.098081,,,,10.10128602564848,10.10145378044096
9,1,1968,11,1,132,95,4,150000,1101,6.8432169,11.91839,68,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.634876,10.431054,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
17,2,1971,11,1,101,61,4,120000,1101,6.7536044,11.695247,71,1171,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.860302,10.428707,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
12,2,1961,11,1,131,91,4,265000,1101,7.5748301,12.487485,61,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,1,0,100,7.0631027,0,0,1995,13,1,0,0,0,10.083082,9.938797,9.939451905502125,9.9394522,10.08344198688924,10.08360943434158
12,2,1971,11,1,131,33,4,75000,1101,6.0777488,11.225244,71,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,71,7.0631027,0,0,1995,3,0,1,0,1971,10.862387,10.430154,10.43069088753915,10.430691,10.86333535196814,10.86350852358058
12,2,1968,11,1,131,12,4,200000,1101,6.991137,12.206073,68,1101,2.7295361,1,66678,.16055965,.52352154,26.356646,0,1,68,7.0631027,0,0,1995,6,0,1,0,1968,10.632959,10.43011,10.43069088753915,10.430691,10.63436602831066,10.63487610122281
